,mat,dHf,dHd,Stability,Band Gap,Mag,Decomps
1208,K2Rb2Cr3MnCl12,-9.1159255,-7108.998509999994,Stable,0.0,False,Cl1K1 Cl2Cr1 Cl3K1Mn1 RbCl
1209,Cs4CaCr3Cl12,-8.8048055,-6187.61117499987,Stable,0.07160000000000011,False,Cl2Cr1 CaCl2 CsCl
1210,K4MgCa3Cl12,-7.672669000000001,-4330.197874999988,Stable,5.1111,False,Cl1K1 CaCl2 MgCl2
1211,Rb4Co3CdCl12,-7.0707505,-4884.250084999992,Stable,0.30899999999999994,False,Cl2Co1 CdCl2 RbCl
1212,KRbCaCoF6,-19.946761000000002,-16137.123499999954,Stable,0.3167000000000002,False,Co1F2 F1K1 RbF CaF2
1213,K2Rb2MnNi3Cl12,-7.5079335,-5630.1115100000125,Stable,0.0,False,Cl2Ni1 Cl3K1Mn1 Cl3K1Ni1 RbCl
1214,K2Rb2Cr3PbBr12,-7.821821,-5875.857294999964,Stable,0.015700000000000047,False,Br1K1 Br2Cr1 PbBr2 RbBr
1215,Cs4Mn3SnI12,-7.0091585,-4998.185922499962,Stable,0.9294000000000002,False,Mn CsI3 CsI SnI2
1216,K2Cs2Cr3MnBr12,-8.3273675,-6631.406325,Stable,0.0,False,Cr Br1K1 Br2Cr1 Br2Mn1 CsBr3
1217,K2Rb2Co3SnBr12,-6.644296,-4760.8721075000985,Stable,0.0,False,Co Br1K1 Br2Co1 SnBr4 RbBr
1218,K2Cs2CoSr3Cl12,-7.703305500000001,-5146.2557499999875,Stable,0.5029,False,Cl2Sr1 Cl4Co1K2 CsCl
1219,RbCsCoCuI6,-11.015671000000001,-9270.147124999989,Stable,0.0,False,Co Cu CsI3 RbI3
1220,K4CaCr3Cl12,-8.810281999999999,-6637.337175000004,Stable,0.01529999999999987,False,Cl1K1 Cl2Cr1 CaCl2
1221,K2Cs2Mg3CaBr12,-6.3628745,-3402.160044999982,Stable,3.1237,False,Br1K1 MgBr2 CsBr CaBr2
1222,K2Cs2Co3SrBr12,-6.800979,-4982.977824999998,Stable,0.1644,False,Co Br1K1 Br2Co1 Br2Sr1 CsBr3
1223,Rb2Cs2Mg3CoI12,-5.3899415,-2968.3798325002035,Stable,0.33640000000000003,False,Co RbI CsI3 CsI MgI2
1224,KRbMnCdF6,-19.054736,-15718.488999999998,Stable,0.496,False,F1K1 F2Mn1 RbF CdF2
1225,Cs4Mn3SrF12,-10.9020095,-7383.281680000032,Stable,2.3033,False,F2Mn1 F2Sr1 CsF
1226,Cs4MgCa3Br12,-6.8466045,-3457.833115000054,Stable,4.0713,False,MgBr2 CsBr CaBr2
1227,RbCsCaNiF6,-19.139046999999998,-15093.823089999969,Stable,0.5722,False,F2Ni1 RbF CsF CaF2
1228,Rb2Cs2CrSn3Br12,-6.7982325,-3936.200177500041,Stable,0.0,False,Cr SnBr2 CsBr SnBr4 RbBr
1229,NaRbCoCuBr6,-12.267173,-10972.46126999999,Stable,0.0,False,Br1Na1 Br2Co1 Br2Cu1 RbBr
1230,K2Cs2CaCo3Br12,-6.8166614999999995,-4791.044175000014,Stable,0.16649999999999998,False,Co Br1K1 Br2Co1 CsBr3 CaBr2
1231,KCsMgCaCl6,-14.877158,-11415.8303,Stable,4.7078999999999995,False,Cl1K1 CaCl2 CsCl MgCl2
1232,Cs4SrCd3Cl12,-6.3017575,-3392.5736949999996,Stable,2.5267,False,Cl2Sr1 CdCl2 CsCl
1233,Cs4CrPb3I12,-6.106015,-3546.721482499995,Stable,0.0,False,Cr CsI3 CsI PbI2
1234,Rb2NiCuCl6,-13.253506999999999,-11344.683020000004,Stable,0.0,False,Cl2Cu1 Cl2Ni1 RbCl
1235,Cs4MgPb3Cl12,-7.0256675,-3552.7769499999113,Stable,3.129,False,PbCl2 CsCl MgCl2
1236,KCsMgCaBr6,-13.188004000000001,-10124.02812999998,Stable,3.4920999999999998,False,Br1K1 MgBr2 CsBr CaBr2
1237,K2Rb2CrMn3Cl12,-9.069419,-7007.227010000001,Stable,0.0,False,Cl2Cr1 Cl2Mn1 Cl3K1Mn1 RbCl
1238,Rb4CoNi3Cl12,-7.094878,-5088.3590200000035,Stable,0.0,False,Cl2Co1 Cl2Ni1 RbCl
1239,Cs4MnBa3F12,-10.238731,-6352.053179999999,Stable,2.2515,False,Ba1F2 F2Mn1 CsF
1240,Cs2CrCdBr6,-13.441343,-11190.637154999973,Stable,0.0,False,Cr CdBr2 CsBr3 CsBr
1241,K4Mn3NiF12,-10.7755205,-7966.7355000000025,Stable,0.0,False,F1K1 F2Mn1 F2Ni1
1242,K2Cs2Co3PbCl12,-7.3738705,-5245.293624999959,Stable,0.3691,False,Co Cl2Co1 Cl4Co1K2 CsCl PbCl4
1243,Cs2CaCrCl6,-16.955675,-13914.215850000011,Stable,0.0,False,Cl2Cr1 CaCl2 CsCl
1244,Cs2CoBaI6,-12.253934,-10218.331344999999,Stable,0.040100000000000025,False,Co Ba1I2 CsI3 CsI
1245,RbCsMnSrF6,-21.205698,-17465.433189999796,Stable,2.3604,False,F2Mn1 F2Sr1 RbF CsF
1246,Cs4VSr3Cl12,-8.116664,-5245.884499999992,Stable,1.2,False,Cl2Sr1 Cl2V1 CsCl
1247,Cs4Mg3SrF12,-9.6245285,-5042.018829999946,Stable,6.651,False,F2Sr1 CsF MgF2
1248,K2Rb2Mn3ZnF12,-10.506274000000001,-7247.178699999972,Stable,1.3440999999999999,False,F1K1 F2Mn1 RbF ZnF2
1249,Cs2CdSnBr6,-11.456169,-8620.290899999905,Stable,0.7696000000000001,False,CdBr2 SnBr2 CsBr
1250,Rb2Cs2CaCr3Cl12,-8.7988445,-6178.007935000011,Stable,0.0,False,Cl2Cr1 CaCl2 RbCl CsCl
1251,Rb4CaSr3F12,-10.0646425,-5666.051149999566,Stable,5.9905,False,F2Sr1 RbF CaF2
1252,RbCsMgCaBr6,-13.183277,-9896.899399999988,Stable,3.4115,False,MgBr2 CsBr CaBr2 RbBr
1253,K2CoCuF6,-18.064148,-15650.928,Stable,0.0,False,Co1F2 Cu1F2 F1K1
1254,K4MgV3Cl12,-8.5566555,-6358.953849999895,Stable,0.49729999999999963,False,Cl1K1 Cl2V1 MgCl2
1255,Rb4CoSn3Br12,-6.416177500000001,-3553.277547500072,Stable,0.1874,False,Co SnBr2 SnBr4 RbBr
1256,Cs4TiSr3Br12,-7.262372000000001,-4779.497762500016,Stable,0.22670000000000012,False,Ti Br2Sr1 CsBr3 CsBr
1257,Rb2Cs2Cr3BaBr12,-7.9673305,-5852.602595,Stable,0.024499999999999966,False,Cr Ba1Br2 Br2Cr1 CsBr3 RbBr
1258,Cs4CoSr3F12,-9.8876945,-6037.136680000065,Stable,0.5300000000000002,False,Co1F2 F2Sr1 CsF
1259,Rb4CrSn3Cl12,-7.4644115,-4282.061107499759,Stable,0.0,False,Cr RbCl SnCl4 SnCl2
1260,Cs2CrCdCl6,-14.879274,-12349.991630000051,Stable,0.0,False,Cl2Cr1 CdCl2 CsCl
1261,Cs4VSn3Cl12,-7.502562,-4327.496087500014,Stable,0.6323000000000003,False,V SnCl4 CsCl SnCl2
1262,Cs4Mg3BaI12,-5.4795395,-2916.2744599999846,Stable,2.2708000000000004,False,Ba1I2 CsI MgI2
1263,Cs4TiBa3Br12,-7.3248165,-4796.357262500006,Stable,0.19760000000000022,False,Ti Ba1Br2 CsBr3 CsBr
1264,Rb4MgZn3F12,-8.444357499999999,-4305.496050000228,Stable,4.1472,False,RbF ZnF2 MgF2
1265,Rb4FeCu3Cl12,-6.830231499999999,-4987.18252000002,Stable,0.0,False,Cl2Cu1 Cl2Fe1 RbCl
