,mat,dHf,dHd,Stability,Band Gap,Mag,Decomps
0,KCrCl3,-36.622879999999995,-34874.2,Stable,0.0,False,Cl1K1 Cl2Cr1
1,KCsMn2Cl6,-18.152262,-16070.927250000026,Stable,1.2258999999999998,False,Cl2Mn1 Cl3K1Mn1 CsCl
2,KCuF3,-33.05836,-30769.760000000002,Stable,0.0,False,Cu1F2 F1K1
3,KRbMg2F6,-19.433343999999998,-14905.869799999682,Stable,6.8972,False,F1K1 RbF MgF2
4,RbCsCd2F6,-15.43683,-11660.617990000004,Stable,3.1799,False,RbF CsF CdF2
5,RbCsSn2I6,-11.197951999999999,-8427.05160999995,Stable,0.9687999999999999,False,RbI CsI SnI2
6,KCoCl3,-30.10589,-28576.329999999994,Stable,0.0,False,Cl2Co1 Cl4Co1K2
7,RbCuI3,-19.6613328,-17927.167300000037,Stable,0.0,False,Cu RbI3
8,KCaF3,-41.22197,-36590.8918,Stable,6.5466,False,F1K1 CaF2
9,KRbMg2Cl6,-14.024766,-10766.33241000001,Stable,4.1819,False,Cl1K1 RbCl MgCl2
10,CsSrBr3,-28.087338,-25425.7698,Stable,4.2379,False,Br2Sr1 CsBr
11,RbCsSr2Br6,-14.044239999999999,-11381.804170000003,Stable,4.3373,False,Br2Sr1 CsBr RbBr
12,KCsNi2Br6,-12.548955,-10960.708825000002,Stable,0.23849999999999993,False,Ni Br1K1 Br2Ni1 CsBr3
13,RbFeBr3,-29.799962,-28160.258539999842,Stable,0.0,False,Br2Fe1 RbBr
14,KCuCl3,-25.14201,-23798.690000000002,Stable,0.0,False,Cl1K1 Cl2Cu1
15,KCsFe2Br6,-14.97797,-13407.123824999977,Stable,0.04520000000000013,False,Fe Br1K1 Br2Fe1 CsBr3
16,CsTiBr3,-32.011668,-30064.875649999965,Stable,0.0,False,Ti CsBr3
17,KCsMg2Cl6,-14.009871,-10755.079649999996,Stable,4.037599999999999,False,Cl1K1 CsCl MgCl2
18,RbCsMg2Cl6,-14.005741,-10525.182659999984,Stable,3.9999999999999996,False,RbCl CsCl MgCl2
19,NaRbCo2Cl6,-14.878189,-13159.422010000006,Stable,0.029900000000000038,False,Cl1Na1 Cl2Co1 RbCl
20,KNiF3,-36.271766,-33688.386,Stable,0.49070000000000014,False,F1K1 F2Ni1
21,RbCsNi2Br6,-12.533427,-10722.779095000004,Stable,0.2631999999999999,False,Ni Br2Ni1 CsBr3 RbBr
22,CsCoI3,-23.971042,-22214.15975,Stable,0.0,False,Co CsI3
23,KRbMn2Cl6,-18.163301999999998,-16078.32501,Stable,1.2694999999999999,False,Cl2Mn1 Cl3K1Mn1 RbCl
24,KCsMn2I6,-14.909516,-13473.124875000001,Stable,0.8677000000000001,False,Mn I1K1 I2Mn1 CsI3
25,KRbCu2Br6,-11.240601999999999,-9985.540269999994,Stable,0.0,False,Br1K1 Br2Cu1 RbBr
26,RbCsCo2Br6,-13.476123000000001,-11700.365095000005,Stable,0.0,False,Co Br2Co1 CsBr3 RbBr
